timestamps,block,episode,init_pos,human_action,agent_action,prev_x,prev_y,next_x,next_y,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.760437538315000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000056e-01,2.000000000000000000e+00,-3.499426514542697264e-01,2.718293909501651173e-01,-3.499785129443404585e-01,2.721887387119793500e-01,3.050454560119755126e-04,5.969809044982281598e-01,5.999999999999999778e-01,5.240000000000000213e-01,1.142928492527619822e-04,5.988822154072982462e-01,5.000000000000000000e-01,4.779999999999999805e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
1.760437538519000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.499785129443404585e-01,2.721887387119793500e-01,-3.500139599491863263e-01,2.693165769934796061e-01,1.142928492527619822e-04,5.988822154072982462e-01,4.960000000000000520e-01,4.779999999999999805e-01,-7.425504886355567102e-05,5.836855925580932691e-01,5.000000000000000000e-01,4.599999999999999645e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437538722000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.500153629929315668e-01,2.691895487409020071e-01,-3.500501246554617585e-01,2.660135151506018980e-01,-8.171804750845239188e-05,5.830134854015980306e-01,5.959999999999999742e-01,4.599999999999999645e-01,-2.666205077754292530e-04,5.662090748709095456e-01,5.000000000000000000e-01,4.599999999999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437538925000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.500501246554617585e-01,2.660135151506018980e-01,-3.463140840509995599e-01,2.628365723001213627e-01,-2.666205077754292530e-04,5.662090748709095456e-01,6.959999999999999520e-01,4.599999999999999645e-01,1.960593589893839736e-02,5.493998534397955824e-01,5.999999999999999778e-01,4.599999999999999645e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760437539128000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,-3.463140840509995599e-01,2.628365723001213627e-01,-3.345747321299454291e-01,2.598270104340917319e-01,1.960593589893839736e-02,5.493998534397955824e-01,6.959999999999999520e-01,4.599999999999999645e-01,8.204929718114123416e-02,5.334762456830250965e-01,7.000000000000000666e-01,4.760000000000000342e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.760437539331000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,2.000000000000000000e+00,-3.339390509529044371e-01,2.597493747915144979e-01,-3.214191368082930378e-01,2.598920755992000231e-01,8.543058003774224585e-02,5.330654750873783376e-01,5.959999999999999742e-01,4.760000000000000342e-01,1.520258680409943830e-01,5.338205058158731475e-01,6.039999999999999813e-01,5.280000000000000249e-01,2.000000000000000042e-02,-2.000000000000000111e-01
1.760437539535000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.214191368082930378e-01,2.598920755992000231e-01,-3.131219096265108748e-01,2.623024687891513107e-01,1.520258680409943830e-01,5.338205058158731475e-01,6.959999999999999520e-01,5.280000000000000249e-01,1.961600551781335633e-01,5.465739089373086168e-01,6.039999999999999813e-01,5.300000000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437539738000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000056e-01,1.000000000000000000e+00,-3.131219096265108748e-01,2.623024687891513107e-01,-3.007248468320019574e-01,2.644792556875767975e-01,1.961600551781335633e-01,5.465739089373086168e-01,7.000000000000000666e-01,5.300000000000000266e-01,2.621018785531810114e-01,5.580912999342688696e-01,7.000000000000000666e-01,5.100000000000000089e-01,-2.000000000000000042e-02,2.000000000000000111e-01
1.760437539942000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.007248468320019574e-01,2.644792556875767975e-01,-2.882043475649284092e-01,2.633410660132348147e-01,2.621018785531810114e-01,5.580912999342688696e-01,5.999999999999999778e-01,5.080000000000000071e-01,3.287002789099551792e-01,5.520691323451578647e-01,6.039999999999999813e-01,4.699999999999999734e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437540145000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.882043475649284092e-01,2.633410660132348147e-01,-2.761313972824174234e-01,2.609590331521353668e-01,3.287002789099551792e-01,5.520691323451578647e-01,7.000000000000000666e-01,4.699999999999999734e-01,3.929180995616093908e-01,5.394657838737321187e-01,7.039999999999999591e-01,4.699999999999999734e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760437540348000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.761313972824174234e-01,2.609590331521353668e-01,-2.588614368814576849e-01,2.584797027681017267e-01,3.929180995616093908e-01,5.394657838737321187e-01,5.999999999999999778e-01,4.699999999999999734e-01,4.847795910560760979e-01,5.263476336936599997e-01,7.079999999999999627e-01,4.699999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437540552000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-2.588614368814576849e-01,2.584797027681017267e-01,-2.460093469913659514e-01,2.560957384005628223e-01,4.847795910560760979e-01,5.263476336936599997e-01,4.960000000000000520e-01,4.699999999999999734e-01,5.531417713225215138e-01,5.137340656114435244e-01,6.079999999999999849e-01,4.699999999999999734e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437540754000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.460093469913659514e-01,2.560957384005628223e-01,-2.336133065990437241e-01,2.537112119760954743e-01,5.531417713225215138e-01,5.137340656114435244e-01,4.960000000000000520e-01,4.699999999999999734e-01,6.190781563880652927e-01,5.011175236830448521e-01,7.079999999999999627e-01,4.699999999999999734e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760437540958000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.329514163678498839e-01,2.536157774468974502e-01,-2.160064388118202172e-01,2.512294339935565723e-01,6.225988491071814401e-01,5.006125790841134959e-01,3.920000000000000151e-01,4.699999999999999734e-01,7.127317084477647890e-01,4.879864232463311247e-01,7.120000000000000773e-01,4.699999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437541161000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-2.160064388118202172e-01,2.512294339935565723e-01,-2.028276127550051045e-01,2.488433194765327372e-01,7.127317084477647890e-01,4.879864232463311247e-01,4.919999999999999929e-01,4.699999999999999734e-01,7.828318470478451419e-01,4.753614787118135010e-01,6.119999999999999885e-01,4.699999999999999734e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437541365000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.028276127550051045e-01,2.488433194765327372e-01,-1.900623127837515747e-01,2.463613944409399348e-01,7.828318470478451419e-01,4.753614787118135010e-01,5.919999999999999707e-01,4.699999999999999734e-01,8.507323788098321016e-01,4.622296002166134676e-01,7.079999999999999627e-01,4.699999999999999734e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760437541569000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.900623127837515747e-01,2.463613944409399348e-01,-1.734315589918055123e-01,2.439732383372777147e-01,8.507323788098321016e-01,4.622296002166134676e-01,6.959999999999999520e-01,4.699999999999999734e-01,9.391938351499706794e-01,4.495938536363900950e-01,7.079999999999999627e-01,4.699999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00
